Date_Time,CO2,Estado_Valvula_1,Estado_Valvula_2,Estado_Valvula_3,Estado_Valvula_4,Temp_Compost_1,Temp_Compost_2,Temp_Compost_3,Temp_Compost_4,Temp_Suncho,Estado_Suncho
27/03/2022_04:15:45,805,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,63.88,46.63,46.81,51.75,39.25,Prendido
27/03/2022_04:15:51,805,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,63.88,46.63,46.81,51.75,39.25,Prendido
27/03/2022_04:15:56,804,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,63.88,46.63,46.81,51.75,39.25,Prendido
27/03/2022_04:16:02,803,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,63.88,46.56,46.81,51.75,39.25,Prendido
27/03/2022_04:16:08,803,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,63.88,46.63,46.81,51.81,39.25,Prendido
27/03/2022_04:16:14,804,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,63.88,46.56,46.81,51.81,39.25,Prendido
27/03/2022_04:16:20,804,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,63.88,46.50,46.81,51.81,39.19,Prendido
27/03/2022_04:16:26,804,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,63.88,46.63,46.81,51.94,39.19,Prendido
27/03/2022_04:16:32,803,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,63.88,46.63,46.75,51.94,39.25,Prendido
27/03/2022_04:16:37,803,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,63.88,46.56,46.81,52.00,39.25,Prendido
27/03/2022_04:16:43,803,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,63.88,46.56,46.81,51.94,39.25,Prendido
27/03/2022_04:16:49,802,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,63.88,46.56,46.81,51.81,39.25,Prendido
27/03/2022_04:16:55,801,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,63.88,46.50,46.81,51.94,39.25,Prendido
27/03/2022_04:17:01,800,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,63.88,46.56,46.75,51.81,39.25,Prendido
27/03/2022_04:17:07,800,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,63.88,46.56,46.81,51.75,39.25,Prendido
27/03/2022_04:17:13,800,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,63.88,46.56,46.75,51.75,39.25,Prendido
27/03/2022_04:17:19,801,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,63.88,46.56,46.75,51.81,39.25,Prendido
