[TA Ascii File]
DTG-60

File Name :	C:\TAData\Caro Iacovone\TPS.txt

[File Information]
File Name:	TPS.tad
Sample Name:	TPS
Lot No:	001
Acquire Date:	22/03/22
Acquire Time:	13:07:00(-0300)
Detector Type:	DTG-60
Detector Serial No:	C30564800519TK
Operator:	Carolina Iacovone
Atmosphere:	Nitrogen
Gas Flow:	30[ml/min]
Annotation:	
Pan Name:	Aluminum
Sample Weight:	7.971[mg]
Molecular Weight:	0.00


[Measurements Program]
[Temperature Program]
Start Temp.	
Temp. Rate	Hold Temp.	Hold Time	Gas
[ C/min  ]	[   C  ]	[ min  ]
3.00	30.0	10		
10.00	450.0	0		


[Data]
Time	Temp	DTA	TGA
sec	C	uV	mg
58.000000	28.672838	-3.977917	7.963870
59.000000	28.691652	-3.986620	7.963970
60.000000	28.736050	-3.991579	7.963672
61.000000	28.771189	-3.998484	7.963374
62.000000	28.764917	-4.000099	7.963076
63.000000	28.800854	-3.998974	7.962878
64.000000	28.849333	-3.998434	7.962779
65.000000	28.845051	-3.999023	7.962878
66.000000	28.862572	-3.993352	7.963176
67.000000	28.923395	-3.988269	7.963375
68.000000	28.937630	-3.986435	7.963474
69.000000	28.934343	-3.978839	7.963573
70.000000	28.977249	-3.967960	7.963971
71.000000	29.010696	-3.959710	7.964368
72.000000	29.006914	-3.952060	7.964666
73.000000	29.026625	-3.940377	7.965063
74.000000	29.071518	-3.925527	7.965460
75.000000	29.072615	-3.914514	7.965262
76.000000	29.075203	-3.896653	7.964865
77.000000	29.117109	-3.883111	7.964170
78.000000	29.146278	-3.869987	7.963574
79.000000	29.134930	-3.855712	7.963078
80.000000	29.166883	-3.838280	7.962780
81.000000	29.201029	-3.821632	7.963177
82.000000	29.196848	-3.806738	7.964070
83.000000	29.209789	-3.789695	7.965163
84.000000	29.250404	-3.770334	7.966454
85.000000	29.262646	-3.755118	7.967944
86.000000	29.257172	-3.732603	7.969037
87.000000	29.282356	-3.711091	7.969831
88.000000	29.312918	-3.691079	7.970327
89.000000	29.295895	-3.675198	7.970427
90.000000	29.317198	-3.655526	7.970228
91.000000	29.347858	-3.634659	7.969632
92.000000	29.354429	-3.618995	7.968937
93.000000	29.356220	-3.596842	7.968341
94.000000	29.388174	-3.575628	7.967546
95.000000	29.411964	-3.557058	7.966653
96.000000	29.395144	-3.538337	7.965561
97.000000	29.420527	-3.514944	7.964667
98.000000	29.452383	-3.493571	7.964271
99.000000	29.438047	-3.475678	7.963972
100.000000	29.444916	-3.453560	7.963674
101.000000	29.473585	-3.430809	7.963575
102.000000	29.489613	-3.414166	7.963674
103.000000	29.474281	-3.395022	7.963873
104.000000	29.502554	-3.373482	7.963674
105.000000	29.532019	-3.353649	7.963078
106.000000	29.513802	-3.335685	7.961986
107.000000	29.525549	-3.314482	7.960695
108.000000	29.556108	-3.293172	7.959305
109.000000	29.552326	-3.276952	7.958312
110.000000	29.552725	-3.255197	7.957518
111.000000	29.573828	-3.231490	7.957220
112.000000	29.601501	-3.212140	7.957320
113.000000	29.572733	-3.194984	7.957716
114.000000	29.591547	-3.173865	7.958213
115.000000	29.622208	-3.155032	7.958114
116.000000	29.616632	-3.138418	7.957716
117.000000	29.617031	-3.118455	7.957320
118.000000	29.641022	-3.097556	7.957021
119.000000	29.652569	-3.081709	7.956625
120.000000	29.631962	-3.063240	7.956028
121.000000	29.657148	-3.042421	7.955333
122.000000	29.688107	-3.021955	7.954737
123.000000	29.661329	-3.003836	7.954340
124.000000	29.671185	-2.985753	7.953943
125.000000	29.696766	-2.965658	7.953546
126.000000	29.702044	-2.950223	7.953844
127.000000	29.683826	-2.930646	7.955235
128.000000	29.708216	-2.911106	7.957022
129.000000	29.726133	-2.894165	7.958909
130.000000	29.701147	-2.878665	7.960596
