[TA Ascii File]
DTG-60

File Name :	C:\TAData\Caro Iacovone\TPS-NPTiO2.txt

[File Information]
File Name:	TPS-NPTiO2.tad
Sample Name:	TPS-NPTiO2
Lot No:	001
Acquire Date:	22/03/22
Acquire Time:	15:33:16(-0300)
Detector Type:	DTG-60
Detector Serial No:	C30564800519TK
Operator:	Carolina Iacovone
Atmosphere:	Nitrogen
Gas Flow:	30[ml/min]
Annotation:	
Pan Name:	Aluminum
Sample Weight:	7.620[mg]
Molecular Weight:	0.00


[Measurements Program]
[Temperature Program]
Start Temp.	
Temp. Rate	Hold Temp.	Hold Time	Gas
[ C/min  ]	[   C  ]	[ min  ]
3.00	30.0	10		
10.00	450.0	0		


[Data]
Time	Temp	DTA	TGA
sec	C	uV	mg
57.000000	29.661627	-2.824579	7.609040
58.000000	29.688107	-2.816764	7.609835
59.000000	29.690098	-2.812663	7.610232
60.000000	29.676758	-2.802413	7.610133
61.000000	29.702839	-2.791997	7.610133
62.000000	29.723146	-2.782588	7.610332
63.000000	29.700748	-2.776754	7.610332
64.000000	29.712296	-2.767827	7.610431
65.000000	29.746241	-2.755017	7.610630
66.000000	29.737083	-2.752164	7.610928
67.000000	29.733599	-2.742635	7.610928
68.000000	29.759781	-2.732385	7.610431
69.000000	29.782078	-2.724576	7.609636
70.000000	29.749725	-2.716576	7.608644
71.000000	29.773417	-2.707493	7.607750
72.000000	29.802185	-2.698530	7.607452
73.000000	29.781281	-2.691719	7.607650
74.000000	29.787653	-2.680833	7.608346
75.000000	29.811245	-2.668644	7.609240
76.000000	29.817915	-2.663981	7.610530
77.000000	29.792034	-2.653994	7.611921
78.000000	29.810450	-2.645245	7.612914
79.000000	29.843897	-2.636911	7.613609
80.000000	29.817816	-2.629957	7.614006
81.000000	29.829063	-2.619018	7.614204
82.000000	29.855841	-2.607334	7.613808
83.000000	29.855742	-2.601762	7.612814
84.000000	29.838619	-2.590524	7.611623
85.000000	29.862511	-2.579756	7.610729
86.000000	29.880827	-2.569721	7.610332
87.000000	29.849072	-2.561382	7.610233
88.000000	29.857136	-2.551455	7.610332
89.000000	29.890684	-2.541352	7.610332
90.000000	29.872465	-2.535877	7.610631
91.000000	29.873659	-2.527072	7.610928
92.000000	29.894068	-2.517121	7.610829
93.000000	29.911589	-2.510483	7.610631
94.000000	29.883516	-2.504972	7.610531
95.000000	29.899841	-2.494591	7.610829
96.000000	29.924726	-2.487049	7.611325
97.000000	29.903324	-2.481972	7.611623
98.000000	29.902430	-2.473120	7.611623
99.000000	29.927315	-2.461401	7.611027
100.000000	29.928810	-2.455288	7.610134
101.000000	29.904221	-2.446014	7.609438
102.000000	29.926519	-2.434932	7.609041
103.000000	29.949116	-2.427068	7.609140
104.000000	29.924828	-2.422966	7.609637
105.000000	29.932791	-2.414955	7.610431
106.000000	29.959867	-2.404526	7.611424
107.000000	29.955585	-2.401603	7.612319
108.000000	29.934980	-2.392234	7.613014
109.000000	29.959171	-2.384437	7.612814
110.000000	29.971813	-2.377063	7.612219
111.000000	29.946329	-2.373205	7.611325
112.000000	29.952301	-2.364063	7.610332
113.000000	29.978981	-2.353153	7.609439
114.000000	29.964645	-2.350561	7.608743
115.000000	29.955786	-2.341045	7.608048
116.000000	29.976393	-2.333301	7.607453
117.000000	29.988634	-2.328236	7.607056
118.000000	29.955986	-2.322932	7.607055
119.000000	29.978382	-2.315984	7.607055
120.000000	29.996998	-2.307830	7.606956
121.000000	29.981667	-2.303521	7.606658
122.000000	29.977587	-2.294526	7.606459
123.000000	30.002174	-2.284962	7.606162
124.000000	30.006952	-2.282509	7.605863
125.000000	29.978580	-2.272188	7.605764
126.000000	29.994110	-2.262987	7.605764
127.000000	30.010536	-2.256605	7.606063
128.000000	29.982065	-2.252866	7.606758
